,City,Country,Max Temp,Lat,Lng,Hotel Name
559,Port Hedland,AU,80.65,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
560,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
562,Oranjemund,,65.64,-28.55,16.4333,The Fisherman's Cove
563,Souillac,MU,77.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
565,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
568,Bhadasar,IN,60.93,28.2833,74.3167,OMPRAKASH JAKHAR
569,Cayenne,GF,78.1,4.9333,-52.3333,Hôtel Le Dronmi
571,Portland,US,63.19,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
573,Mpwapwa,TZ,64.26,-6.35,36.4833,THE ROYAL LODGE
574,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
575,Carnarvon,AU,86.07,-24.8667,113.6333,Hospitality Carnarvon
579,San Andres,CO,80.62,12.5847,-81.7006,Hotel Arena Blanca
580,Ramon,PH,75.97,16.7842,121.535,May traveller's Inn
581,Mahonda,TZ,78.91,-6.45,39.4667,Karamba Resort
